Depression level,Mood Level,Gender,Age Range,Category,Recommendation,Link
Minimal,Confused,Male,25-34,Expressive Arts Therapy,Tibetan Flute Healing Stops Overthinking,https://www.youtube.com/live/Wi_dQEtX4AQ?si=Movm1k2ssbpACoMu
Mild,Confused,Female,15-19,Expressive Arts Therapy,Firework by Katy Perry,https://www.youtube.com/watch?v=QGJuMBdaqIw
Minimal,Anxious,Female,20-24,Expressive Arts Therapy,Listen to songs in Youtube,https://youtu.be/lbCRtrrMvSw?si=abjFA2HUXWBR52f4
Moderate,Anxious,Male,25-34,Expressive Arts Therapy,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=6ZbiZX9inhSiKSyM
Minimal,Neutral,Prefer not to say,20-24,Expressive Arts Therapy,do some drawings,https://www.kaviartstudio.in/online-sketching-drawing-classes-adults-kids
Minimal,Sad,Male,20-24,Expressive Arts Therapy,Go for a standup comedy or watch,https://youtu.be/tbRvPBB7KUI?si=8kdIYBMqGIfCsSjA
Minimal,Happy,Male,20-24,Expressive Arts Therapy,Drawing a picture,https://www.drawspace.com/
Minimal,Neutral,Prefer not to say,45-54,Expressive Arts Therapy,The Beatles - Here Comes The Sun,https://youtu.be/KQetemT1sWc?feature=shared
Minimal,Sad,Female,45-54,Expressive Arts Therapy,Listening to Music - Mrs.Robinson by Simon & Garfunke,https://youtu.be/5JVPdb6Urhw?feature=shared
Mild,Anxious,Prefer not to say,25-34,Expressive Arts Therapy,Drawing a Picture,https://wastedtalentinc.com/depression-drawing-ideas/
Mild,Neutral,Male,20-24,Expressive Arts Therapy,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=gVZM-1-Mjmzv2XT3
Minimal,Confused,Male,25-34,Expressive Arts Therapy,Listening to music - The Nights by Avicii,https://youtu.be/UtF6Jej8yb4?si=tox5GG_Vd3VG0PdE
Minimal,Anxious,Male,25-34,Expressive Arts Therapy,Listening to Music - Till I Collapse by Eminem,https://youtu.be/ytQ5CYE1VZw?si=_YMm2214tyw51Kyx
Mild,Sad,Female,25-34,Expressive Arts Therapy,Listening to music - Till I Collapse By Avicii,https://youtu.be/ytQ5CYE1VZw?si=_YMm2214tyw51Kyx
Minimal,Calm,Prefer not to say,45-54,Expressive Arts Therapy,Satisfying Calligraphy That Will Relax You,https://www.youtube.com/watch?v=c9ngFduPffI
Mild,Calm,Prefer not to say,35-44,Expressive Arts Therapy,JVKE - golden hour,https://www.youtube.com/watch?v=PEM0Vs8jf1w&pp=ygULZ29sZGVuIGhvdXI%3D
Mild,Sad,Female,25-34,Expressive Arts Therapy,Happy songs to make you smile!,https://www.youtube.com/watch?v=ru0K8uYEZWw&list=PLW9z2i0xwq0F3-8LieqflLLWLWZQgvhEX
Minimal,Sad,Male,15-19,Expressive Arts Therapy,Watch a comedy,https://www.youtube.com/watch?v=9-GRzu6zbS0
Minimal,Anxious,Male,15-19,Expressive Arts Therapy,Happier by Marshmello ft. Bastille,https://www.youtube.com/watch?v=m7Bc3pLyij0
Minimal,Scared,Male,20-24,Expressive Arts Therapy,Eminem - Not Afraid,https://www.youtube.com/watch?v=j5-yKhDd64s
Mild,Neutral,Female,35-44,Expressive Arts Therapy,Very Satisfying and Relaxing Compilation 290 Kinetic Sand ASMR,https://www.youtube.com/watch?v=1Bm0RXvRmGs
Moderate,Calm,Female,35-44,Expressive Arts Therapy,Calm Your Heart.,https://youtu.be/1R47EQrxgfw
Minimal,Anxious,Prefer not to say,45-54,Expressive Arts Therapy,Satisfying Slime ASMR,https://www.youtube.com/watch?v=lcPTDc9vHkE
Minimal,Happy,Male,15-19,Expressive Arts Therapy,piano/cello cover,https://www.youtube.com/watch?v=QgaTQ5-XfMM&list=RDEMdVnVIAwYlB4zIe31nRwa4Q&start_radio=1&rv=74CYIdYoQ5w
Mild,Confused,Prefer not to say,55-65,Expressive Arts Therapy,"Tibetan Flute Healing Stops Overthinking, Eliminates Stress, Anxiety and Calms the Mind",https://www.youtube.com/watch?v=Wi_dQEtX4AQ
Moderate,Sad,Female,15-19,Expressive Arts Therapy,Try Not To Laugh Challenge - Funny Cat & Dog Vines,https://www.youtube.com/watch?v=EtH9Yllzjcc
Moderately Severe,Anxious,Male,55-65,Expressive Arts Therapy,Oddly Satisfying Video,https://www.youtube.com/watch?v=ebnQsTk9s-s
Minimal,Neutral,Male,55-65,Expressive Arts Therapy,Bob Ross - Lonely Retreat,https://www.youtube.com/watch?v=qTDQt_PdlYc
Moderate,Happy,Prefer not to say,20-24,Expressive Arts Therapy,Satisfying kinetic sandcutting video,https://www.youtube.com/watch?v=c9ngFduPffI
Mild,Anxious,Prefer not to say,25-34,Expressive Arts Therapy,Mandala coloring pages for relaxation,https://mondaymandala.com/m/
Minimal,Anxious,Prefer not to say,15-19,Expressive Arts Therapy,Adult coloring books for relaxation,https://www.amazon.com/Adult-Coloring-Book-Relieving-Patterns/dp/1941325122
Severe,Scared,Prefer not to say,55-65,Expressive Arts Therapy,Mandala designs to color,https://www.printmandala.com/
Moderate,Sad,Prefer not to say,15-19,Expressive Arts Therapy,ASMR art video for relaxation,https://www.youtube.com/watch?v=PBLX5LUN-VY
Mild,Happy,Prefer not to say,55-65,Expressive Arts Therapy,Soap cutting ASMR video,https://www.youtube.com/watch?v=2YyXDhE2jJU
Moderate,Calm,Male,45-54,Expressive Arts Therapy,ASMR Calligraphy Pen Lettering,https://www.youtube.com/watch?v=WveiLxKMIHg
Mild,Sad,Male,55-65,Expressive Arts Therapy,Satisfying Slime Videos,https://www.youtube.com/watch?v=lcPTDc9vHkE&t=87s
Minimal,Neutral,Male,25-34,Expressive Arts Therapy,ASMR baking soda,https://www.youtube.com/watch?v=O5NMnvh4_dQ
Severe,Confused,Male,55-65,Expressive Arts Therapy,Pottery Wheel Throwing,https://www.youtube.com/watch?v=Iyq9Bfjvypo
Moderate,Anxious,Male,25-34,Expressive Arts Therapy,Painting for Relaxation,https://www.youtube.com/watch?v=nTitQlI84po
Mild,Happy,Male,55-65,Expressive Arts Therapy,Soap Crushing ASMR,https://www.youtube.com/watch?v=FZXyIi-4Wx0
Minimal,Calm,Male,25-34,Expressive Arts Therapy,Lego Building Videos,https://www.youtube.com/watch?v=9BKVNkLAcmw
Moderate,Calm,Male,45-54,Expressive Arts Therapy,ASMR Calligraphy Pen Lettering,https://www.youtube.com/watch?v=Ukt0dGr11NE
Mild,Sad,Male,55-65,Expressive Arts Therapy,Satisfying Slime Videos,https://www.youtube.com/watch?v=lcPTDc9vHkE
Minimal,Neutral,Male,25-34,Expressive Arts Therapy,ASMR Soap Carving,https://www.youtube.com/watch?v=orD6yIilR0A
Severe,Confused,Male,55-65,Expressive Arts Therapy,Pottery Wheel Throwing,https://www.youtube.com/watch?v=PUAwDPUNyrs
Moderate,Anxious,Male,25-34,Expressive Arts Therapy,Painting for Relaxation,https://www.youtube.com/watch?v=RR3hcNlka-Q
Mild,Happy,Male,55-65,Expressive Arts Therapy,Soap Cutting ASMR,https://www.youtube.com/watch?v=9eqvo0uqpTs
Minimal,Calm,Male,25-34,Expressive Arts Therapy,Lego Building Videos,https://www.youtube.com/watch?v=ji7JLWwmZ1g
Mild,Sad,Male,55-65,Expressive Arts Therapy,Satisfying Slime Videos,https://www.youtube.com/watch?v=YAZOCtLMNmI
Minimal,Scared,Prefer not to say,45-54,Expressive Arts Therapy,Lego Build Videos,https://www.youtube.com/watch?v=z-5Khse_IGo
Severe,Neutral,Prefer not to say,55-65,Expressive Arts Therapy,Painting for Relaxation,https://www.youtube.com/watch?v=djeZeFqGpfU
Moderate,Confused,Prefer not to say,15-19,Expressive Arts Therapy,Pottery Wheel Videos,https://www.youtube.com/watch?v=Tllu3Qae9g0
Mild,Anxious,Prefer not to say,25-34,Expressive Arts Therapy,Lego Building for Relaxation,https://www.youtube.com/watch?v=9BKVNkLAcmw
Minimal,Happy,Prefer not to say,35-44,Expressive Arts Therapy,ASMR Painting Sounds,https://www.youtube.com/watch?v=0GKTUGPP7mM
Moderately Severe,Calm,Prefer not to say,45-54,Expressive Arts Therapy,Lego Technic Build,https://www.youtube.com/watch?v=ZdhM0SjlS9o
Moderate,Sad,Prefer not to say,55-65,Expressive Arts Therapy,Resin Art Videos,https://www.youtube.com/watch?v=IEUBq_AikAo
Mild,Scared,Prefer not to say,15-19,Expressive Arts Therapy,Cake Decorating Tutorials,https://www.youtube.com/watch?v=0Vr7nKnyRGI
Moderate,Confused,Prefer not to say,25-34,Expressive Arts Therapy,Art Therapy Exercises,https://positivepsychology.com/art-therapy/
Mild,Neutral,Male,25-34,Expressive Arts Therapy,Start a gratitude journal,https://www.youtube.com/watch?v=pd_iXC0Jko4
Mild,Neutral,Prefer not to say,35-44,Expressive Arts Therapy,Process (Intuitive) Art for Self Care,https://www.youtube.com/watch?v=_cjAh434wIA
Minimal,Scared,Female,45-54,Expressive Arts Therapy,Make a vision board,https://www.youtube.com/watch?v=68LbxdIlYKs
Moderately Severe,Calm,Male,55-65,Expressive Arts Therapy,Adult coloring books,https://www.crayola.com/free-coloring-pages/adult-coloring-pages/
Minimal,Confused,Male,25-34,Expressive Arts Therapy,Tibetan Flute Healing Stops Overthinking,https://www.youtube.com/live/Wi_dQEtX4AQ?si=Movm1k2ssbpACoMu
Mild,Confused,Female,15-19,Expressive Arts Therapy,Firework by Katy Perry,https://www.youtube.com/watch?v=QGJuMBdaqIw
Minimal,Anxious,Female,20-24,Expressive Arts Therapy,Listen to songs in Youtube,https://youtu.be/lbCRtrrMvSw?si=abjFA2HUXWBR52f4
Moderate,Anxious,Male,25-34,Expressive Arts Therapy,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=6ZbiZX9inhSiKSyM
Minimal,Neutral,Prefer not to say,20-24,Expressive Arts Therapy,do some drawings,https://www.kaviartstudio.in/online-sketching-drawing-classes-adults-kids
Minimal,Sad,Male,20-24,Expressive Arts Therapy,Go for a standup comedy or watch,https://youtu.be/tbRvPBB7KUI?si=8kdIYBMqGIfCsSjA
Minimal,Happy,Male,20-24,Expressive Arts Therapy,Try Not to Say WOW | Satisfying Videos That Relax Your Mind,https://www.youtube.com/watch?v=tgmhfoHQbz8
Minimal,Neutral,Prefer not to say,45-54,Expressive Arts Therapy,The Beatles - Here Comes The Sun,https://youtu.be/KQetemT1sWc?feature=shared
Minimal,Sad,Female,45-54,Expressive Arts Therapy,Listening to Music - Mrs.Robinson by Simon & Garfunke,https://youtu.be/5JVPdb6Urhw?feature=shared
Mild,Calm,Female,15-19,Expressive Arts Therapy,Bullet Journal Self Care Spread Ideas,https://www.youtube.com/watch?v=fz3fkYBiz4Q
Minimal,Confused,Female,20-24,Expressive Arts Therapy,Satisfying Slime ASMR,https://www.youtube.com/watch?v=lcPTDc9vHkE
Moderate,Neutral,Male,15-19,Expressive Arts Therapy,100 Satisfying Slime Mixing Videos,https://www.youtube.com/watch?v=nlyLvIMrEvY
Mild,Neutral,Male,20-24,Expressive Arts Therapy,Funny Stand-up Comedy Clips,https://www.youtube.com/watch?v=V-9pGpCgoGQ
Moderately Severe,Sad,Female,15-19,Expressive Arts Therapy,Uplifting Songs Playlist,https://www.youtube.com/playlist?list=PLTuNXkroggHVvcJ2Hk5B2GtRJ255P9GYO
Minimal,Neutral,Female,25-34,Expressive Arts Therapy,Soap Cutting ASMR,https://www.youtube.com/watch?v=ymOiEnsSl5A
Minimal,Calm,Female,15-19,Expressive Arts Therapy,Cute Animal Videos to Brighten Your Day,https://www.youtube.com/channel/UCvM5YYWwfLwpcQgbRr68JLQ
Mild,Neutral,Female,15-19,Expressive Arts Therapy,Mandala Art Tutorial for Beginners,https://www.youtube.com/watch?v=OiSzGBguPm0
Minimal,Neutral,Male,45-54,Expressive Arts Therapy,Easy Origami Tutorials,https://origami.guide/instructions/easy-origami/
Minimal,Calm,Female,25-34,Expressive Arts Therapy,Oil Painting for Beginners,https://www.youtube.com/watch?v=w3hbZfX0Abg
Mild,Happy,Prefer not to say,45-54,Expressive Arts Therapy,Diamond Painting ASMR,https://www.youtube.com/watch?v=WWtjIZuD50k
Moderate,Sad,Male,55-65,Expressive Arts Therapy,SO RELAXING AND SATISFYING WATERCOLOR PAINTING,https://www.youtube.com/watch?v=QL3_CCjWZn0
Mild,Calm,Prefer not to say,35-44,Expressive Arts Therapy,Oil Pastel Drawing Ideas,https://www.youtube.com/watch?v=58zOxWFVvWE
Minimal,Neutral,Female,25-34,Expressive Arts Therapy,Abstract Acrylic Painting Tutorial,https://www.youtube.com/watch?v=XPxzUkfnUo0&pp=ygUtYWJzdHJhY3QgYWNyeWxpYyBwYWludGluZyB0dXRvcmlhbCBzYXRpc2Z5aW5n
Moderate,Neutral,Male,45-54,Expressive Arts Therapy,MOST SATISFYING CAR TIRE CRUSHING VIDEO,https://www.youtube.com/watch?v=KE77000kxrU
Mild,Calm,Prefer not to say,35-44,Expressive Arts Therapy,Mandala Rock Painting Tutorial,https://www.youtube.com/watch?v=BUQwlRmyUZQ
Mild,Happy,Prefer not to say,45-54,Expressive Arts Therapy,Upbeat Songs Playlist,https://www.youtube.com/watch?v=Gs069dndIYk&list=RDQMYhFCcJndS80&start_radio=1
Moderate,Calm,Male,45-54,Expressive Arts Therapy,How to Knit for Beginners,https://www.youtube.com/watch?v=11iw-yBGm-k
Minimal,Calm,Female,15-19,Expressive Arts Therapy,Easy Paper Flower Making,https://www.youtube.com/watch?v=d9mTJ7jCJk4
Mild,Anxious,Female,25-34,Expressive Arts Therapy,Bullet journaling for mental wellness,https://www.youtube.com/watch?v=fkHNgGaYR0I
Mild,Neutral,Female,55-65,Expressive Arts Therapy,Free online art classes for beginners,https://alison.com/course/how-to-draw-101?utm_source=google&utm_medium=cpc&utm_campaign=PPC_Tier-4_First-Click_Alison-Courses&utm_adgroup=Course-4120_How-to-Draw-101&gclid=CjwKCAiA3JCvBhA8EiwA4kujZnIu5GKu8k3nvU4Hz9VqsYJpCOxzZdXVWGxnZJAD6HSBI81ML5D6TRoC7fAQAvD_BwE&gad_source=1
Moderate,Sad,Female,15-19,Expressive Arts Therapy,Adult coloring books for relaxation,https://www.amazon.com/Adult-Coloring-Book-Relieving-Patterns/dp/1941325122
Minimal,Neutral,Female,20-24,Expressive Arts Therapy,Free photography course for beginners,https://alison.com/course/diploma-in-digital-photography?utm_source=google&utm_medium=cpc&utm_campaign=PPC_Tier-4_First-Click_Alison-Courses&utm_adgroup=Course-1326_Diploma-in-Digital-Photography&gclid=CjwKCAiA3JCvBhA8EiwA4kujZgqQJuzWNx5SfP3gX9G2duZL4Qlt3edjdRW6R319AjgNNw6jiDqXaxoCJAoQAvD_BwE&gad_source=1#google_vignette
Severe,Neutral,Male,55-65,Expressive Arts Therapy,Free music composition course,https://www.coursera.org/learn/music-composition
