,Depression level,Mood Level,Gender,Age Range,Category,Recommendation,Link
0,0.0,2,1,2.0,0,Tibetan Flute Healing Stops Overthinking,https://www.youtube.com/live/Wi_dQEtX4AQ?si=Movm1k2ssbpACoMu
1,1.0,2,0,0.0,0,Firework by Katy Perry,https://www.youtube.com/watch?v=QGJuMBdaqIw
2,0.0,0,0,1.0,0,Listen to songs in Youtube,https://youtu.be/lbCRtrrMvSw?si=abjFA2HUXWBR52f4
3,2.0,0,1,2.0,0,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=6ZbiZX9inhSiKSyM
4,0.0,4,2,1.0,0,do some drawings,https://www.kaviartstudio.in/online-sketching-drawing-classes-adults-kids
5,0.0,5,1,1.0,0,Go for a standup comedy or watch,https://youtu.be/tbRvPBB7KUI?si=8kdIYBMqGIfCsSjA
6,0.0,3,1,1.0,0,Drawing a picture,https://www.drawspace.com/
7,0.0,4,2,4.0,0,The Beatles - Here Comes The Sun,https://youtu.be/KQetemT1sWc?feature=shared
8,0.0,5,0,4.0,0,Listening to Music - Mrs.Robinson by Simon & Garfunke,https://youtu.be/5JVPdb6Urhw?feature=shared
9,1.0,0,2,2.0,0,Drawing a Picture,https://wastedtalentinc.com/depression-drawing-ideas/
10,1.0,4,1,1.0,0,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=gVZM-1-Mjmzv2XT3
11,0.0,2,1,2.0,0,Listening to music - The Nights by Avicii,https://youtu.be/UtF6Jej8yb4?si=tox5GG_Vd3VG0PdE
12,0.0,0,1,2.0,0,Listening to Music - Till I Collapse by Eminem,https://youtu.be/ytQ5CYE1VZw?si=_YMm2214tyw51Kyx
13,1.0,5,0,2.0,0,Listening to music - Till I Collapse By Avicii,https://youtu.be/ytQ5CYE1VZw?si=_YMm2214tyw51Kyx
14,0.0,1,2,4.0,0,Satisfying Calligraphy That Will Relax You,https://www.youtube.com/watch?v=c9ngFduPffI
15,1.0,1,2,3.0,0,JVKE - golden hour,https://www.youtube.com/watch?v=PEM0Vs8jf1w&pp=ygULZ29sZGVuIGhvdXI%3D
16,1.0,5,0,2.0,0,Happy songs to make you smile!,https://www.youtube.com/watch?v=ru0K8uYEZWw&list=PLW9z2i0xwq0F3-8LieqflLLWLWZQgvhEX
17,0.0,5,1,0.0,0,Watch a comedy,https://www.youtube.com/watch?v=9-GRzu6zbS0
18,0.0,0,1,0.0,0,Happier by Marshmello ft. Bastille,https://www.youtube.com/watch?v=m7Bc3pLyij0
19,0.0,6,1,1.0,0,Eminem - Not Afraid,https://www.youtube.com/watch?v=j5-yKhDd64s
20,1.0,4,0,3.0,0,Very Satisfying and Relaxing Compilation 290 Kinetic Sand ASMR,https://www.youtube.com/watch?v=1Bm0RXvRmGs
21,2.0,1,0,3.0,0,Calm Your Heart.,https://youtu.be/1R47EQrxgfw
22,0.0,0,2,4.0,0,Satisfying Slime ASMR,https://www.youtube.com/watch?v=lcPTDc9vHkE
23,0.0,3,1,0.0,0,piano/cello cover,https://www.youtube.com/watch?v=QgaTQ5-XfMM&list=RDEMdVnVIAwYlB4zIe31nRwa4Q&start_radio=1&rv=74CYIdYoQ5w
24,1.0,2,2,5.0,0,"Tibetan Flute Healing Stops Overthinking, Eliminates Stress, Anxiety and Calms the Mind",https://www.youtube.com/watch?v=Wi_dQEtX4AQ
25,2.0,5,0,0.0,0,Try Not To Laugh Challenge - Funny Cat & Dog Vines,https://www.youtube.com/watch?v=EtH9Yllzjcc
26,3.0,0,1,5.0,0,Oddly Satisfying Video,https://www.youtube.com/watch?v=ebnQsTk9s-s
27,0.0,4,1,5.0,0,Bob Ross - Lonely Retreat,https://www.youtube.com/watch?v=qTDQt_PdlYc
28,2.0,3,2,1.0,0,Satisfying kinetic sandcutting video,https://www.youtube.com/watch?v=c9ngFduPffI
29,1.0,0,2,2.0,0,Mandala coloring pages for relaxation,https://mondaymandala.com/m/
30,0.0,0,2,0.0,0,Adult coloring books for relaxation,https://www.amazon.com/Adult-Coloring-Book-Relieving-Patterns/dp/1941325122
31,4.0,6,2,5.0,0,Mandala designs to color,https://www.printmandala.com/
32,2.0,5,2,0.0,0,ASMR art video for relaxation,https://www.youtube.com/watch?v=PBLX5LUN-VY
33,1.0,3,2,5.0,0,Soap cutting ASMR video,https://www.youtube.com/watch?v=2YyXDhE2jJU
34,2.0,1,1,4.0,0,ASMR Calligraphy Pen Lettering,https://www.youtube.com/watch?v=WveiLxKMIHg
35,1.0,5,1,5.0,0,Satisfying Slime Videos,https://www.youtube.com/watch?v=lcPTDc9vHkE&t=87s
36,0.0,4,1,2.0,0,ASMR baking soda,https://www.youtube.com/watch?v=O5NMnvh4_dQ
37,4.0,2,1,5.0,0,Pottery Wheel Throwing,https://www.youtube.com/watch?v=Iyq9Bfjvypo
38,2.0,0,1,2.0,0,Painting for Relaxation,https://www.youtube.com/watch?v=nTitQlI84po
